City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
302,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
304,Kavieng,PG,82.35,light rain,-2.5744,150.7967,Nusa Island Retreat
306,Iracoubo,GF,82.63,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
308,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
309,Avrille,FR,85.71,clear sky,47.5,-0.5833,ibis Angers Centre Château
311,Ouesso,CG,78.6,overcast clouds,1.6136,16.0517,ABENIE Hotel
312,Daru,PG,76.5,overcast clouds,-9.0763,143.2092,Daru Lodge
313,Salinas,US,84.04,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
314,Shenjiamen,CN,75.97,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
315,Denizli,TR,79.05,clear sky,37.8402,29.0698,Anemon Denizli Hotel
317,Bengkulu,ID,75.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
321,Galle,LK,79.32,overcast clouds,6.0367,80.217,Amangalla
325,Adeje,ES,82.87,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
326,Andros Town,BS,87.76,scattered clouds,24.7,-77.7667,Hanks place
329,Tabou,CI,77.83,broken clouds,4.423,-7.3528,hotêl doufoulougou
331,Grand-Santi,GF,80.71,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
332,Alboraya,ES,86.92,few clouds,39.5,-0.35,SH Valencia Palace
334,Guhagar,IN,78.58,broken clouds,17.4842,73.1929,Hotel Seawinds
335,Tshikapa,CD,84.96,scattered clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
336,Garden City,US,78.21,clear sky,42.3256,-83.331,Quality Inn & Suites Banquet Center
338,Acarau,BR,86.77,broken clouds,-2.8856,-40.12,castelo pizzaria
342,Wagar,SD,88.16,broken clouds,16.1525,36.2032,
347,Mitsamiouli,KM,77.88,clear sky,-11.3847,43.2844,Foyer ADM
351,Pirapora,BR,89.69,clear sky,-17.345,-44.9419,Santos Palace Hotel
