City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Taltal,CL,2021-08-04 03:35:21,-25.4,-70.4833,56.7,81,36,2.17
118,Cidreira,BR,2021-08-04 03:35:21,-30.1811,-50.2056,57.47,90,100,2.89
119,Saskylakh,RU,2021-08-04 03:35:22,71.9167,114.0833,69.1,30,39,13.89
120,Uruzgan,AF,2021-08-04 03:35:22,32.8333,66.0,82.24,14,0,3.67
121,Whitehorse,CA,2021-08-04 03:35:22,60.7161,-135.0538,71.02,40,75,8.01
122,Inuvik,CA,2021-08-04 03:35:23,68.3499,-133.7218,65.16,37,20,5.75
123,Port Elizabeth,ZA,2021-08-04 03:32:54,-33.918,25.5701,57.49,94,20,13.8
124,Arandis,NA,2021-08-04 03:35:23,-22.4167,14.9667,53.47,48,0,7.14
125,Kang,BW,2021-08-04 03:35:23,-23.6752,22.7876,48.52,45,0,9.42
126,Saint George,US,2021-08-04 03:30:38,37.1041,-113.5841,99.19,15,1,7.0
127,Paita,PE,2021-08-04 03:35:24,-5.0892,-81.1144,65.32,84,71,6.76
128,Faanui,PF,2021-08-04 03:35:24,-16.4833,-151.75,79.3,74,11,9.42
129,Porbandar,IN,2021-08-04 03:35:24,21.6422,69.6093,82.38,83,75,13.8
130,Katsuura,JP,2021-08-04 03:35:25,35.1333,140.3,91.51,68,4,7.63
131,Yulara,AU,2021-08-04 03:35:25,-25.2406,130.9889,60.64,33,0,12.66
132,Bethel,US,2021-08-04 03:35:25,41.3712,-73.414,66.49,84,1,0.0
133,Gerash,IR,2021-08-04 03:35:26,27.6652,54.1371,84.34,36,0,4.79
134,Tres Lagoas,BR,2021-08-04 03:35:26,-20.7511,-51.6783,60.67,45,100,5.55
135,Aripuana,BR,2021-08-04 03:35:26,-9.1667,-60.6333,72.54,48,1,2.86
136,Codrington,AU,2021-08-04 03:35:27,-38.2667,141.9667,55.29,85,85,18.66
137,Pacasmayo,PE,2021-08-04 03:31:49,-7.4006,-79.5714,63.61,89,3,9.17
138,Gold Coast,AU,2021-08-04 03:31:58,-28.0,153.4333,71.91,35,0,5.99
139,Mar Del Plata,AR,2021-08-04 03:35:28,-38.0023,-57.5575,54.12,61,0,1.01
140,Makakilo City,US,2021-08-04 03:35:28,21.3469,-158.0858,86.32,51,1,12.66
141,Batemans Bay,AU,2021-08-04 03:35:28,-35.7167,150.1833,59.92,37,62,10.76
142,Port Lincoln,AU,2021-08-04 03:35:29,-34.7333,135.8667,58.37,67,27,17.6
143,Lebu,CL,2021-08-04 03:35:29,-37.6167,-73.65,50.83,87,4,3.87
144,Geraldton,AU,2021-08-04 03:35:29,-28.7667,114.6,59.41,67,0,16.11
145,Ribeira Grande,PT,2021-08-04 03:35:30,38.5167,-28.7,71.89,89,3,4.5
146,Uray,RU,2021-08-04 03:35:30,60.1247,64.7758,70.92,61,59,4.76
147,San Quintin,MX,2021-08-04 03:35:30,30.4833,-115.95,70.16,79,1,13.04
148,Semey,KZ,2021-08-04 03:35:31,50.4111,80.2275,77.22,38,0,4.47
149,Le Port,RE,2021-08-04 03:32:03,-20.9373,55.2919,68.0,73,7,3.89
150,Bandarbeyla,SO,2021-08-04 03:35:31,9.4942,50.8122,81.32,63,3,26.51
151,Cabo San Lucas,MX,2021-08-04 03:33:46,22.8909,-109.9124,86.61,76,60,5.01
152,Grand Gaube,MU,2021-08-04 03:35:31,-20.0064,57.6608,68.4,76,5,5.01
153,Hoopstad,ZA,2021-08-04 03:34:13,-27.8327,25.9083,44.31,64,0,5.37
154,Kavieng,PG,2021-08-04 03:35:32,-2.5744,150.7967,84.76,68,17,1.9
155,Rock Sound,BS,2021-08-04 03:35:32,24.9,-76.2,82.45,75,90,17.54
156,Luderitz,NA,2021-08-04 03:35:32,-26.6481,15.1594,54.84,92,41,6.35
157,Saint-Philippe,RE,2021-08-04 03:35:33,-21.3585,55.7679,67.59,84,97,17.9
158,Lago Da Pedra,BR,2021-08-04 03:35:33,-4.3333,-45.1667,71.2,57,52,0.87
159,Pontes E Lacerda,BR,2021-08-04 03:35:33,-15.2261,-59.3353,70.81,45,100,4.25
160,Tessalit,ML,2021-08-04 03:35:34,20.1986,1.0114,85.14,45,9,9.19
161,Sharjah,AE,2021-08-04 03:35:34,25.3573,55.4033,93.25,49,0,3.44
162,Choa Saidan Shah,PK,2021-08-04 03:35:35,32.7201,72.9849,76.28,73,98,11.25
163,Bolshoye Murashkino,RU,2021-08-04 03:35:36,55.7826,44.7754,66.31,75,96,6.11
164,Veraval,IN,2021-08-04 03:35:36,20.9,70.3667,82.15,85,100,20.65
165,Pisco,PE,2021-08-04 03:35:36,-13.7,-76.2167,62.65,82,90,3.44
166,Palmer,US,2021-08-04 03:35:37,42.1584,-72.3287,64.94,84,75,0.0
167,Bowen,AU,2021-08-04 03:35:37,-20.0167,148.2333,79.02,63,14,13.13
168,Tamasopo,MX,2021-08-04 03:35:37,21.9333,-99.4833,65.35,95,38,2.68
169,Kibala,TD,2021-08-04 03:35:37,9.1104,18.3463,71.55,94,0,0.0
170,Lata,PT,2021-08-04 03:35:38,40.1629,-8.3327,65.05,96,95,1.66
171,Riyadh,SA,2021-08-04 03:33:24,24.6877,46.7219,84.34,9,43,1.63
172,Koksovyy,RU,2021-08-04 03:35:38,48.1967,40.5989,72.48,67,87,8.23
173,Urumqi,CN,2021-08-04 03:35:39,43.801,87.6005,86.95,19,0,4.47
174,Hermanus,ZA,2021-08-04 03:35:39,-34.4187,19.2345,51.91,87,51,5.17
175,Cayenne,GF,2021-08-04 03:35:39,4.9333,-52.3333,79.09,86,75,1.01
176,Deputatskiy,RU,2021-08-04 03:35:39,69.3,139.9,57.36,31,15,14.34
177,Bonfim,BR,2021-08-04 03:35:40,3.0833,-59.95,75.79,85,100,3.15
178,Cockburn Town,TC,2021-08-04 03:35:40,21.4612,-71.1419,82.09,78,61,21.36
179,Oia,PT,2021-08-04 03:35:40,40.5426,-8.5386,64.45,95,88,1.92
180,Lazaro Cardenas,MX,2021-08-04 03:35:41,17.9583,-102.2,80.56,85,80,3.42
181,Hasaki,JP,2021-08-04 03:35:41,35.7333,140.8333,95.29,71,35,10.22
182,Moose Factory,CA,2021-08-04 03:35:41,51.2585,-80.6094,55.4,76,1,5.75
183,Alta Floresta,BR,2021-08-04 03:35:41,-9.8756,-56.0861,69.71,41,1,4.18
