City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Antofagasta,CL,-23.65,-70.4,60.08,67,33,7.07,scattered clouds
258,Hay River,CA,60.8156,-115.7999,69.78,64,75,14.97,broken clouds
259,Linjiang,CN,41.8069,126.9078,59.22,97,6,1.3,clear sky
260,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,17.27,broken clouds
261,Longyearbyen,SJ,78.2186,15.6401,44.44,70,40,6.91,scattered clouds
262,Haines Junction,CA,60.7522,-137.5108,60.75,55,100,5.75,light rain
263,Adrar,MR,20.5022,-10.0711,99.81,19,31,25.19,scattered clouds
264,Surt,LY,31.2089,16.5887,82.74,72,0,14.18,clear sky
265,Spornoye,RU,50.8448,37.2913,68.02,48,97,7.49,overcast clouds
266,Virginia Beach,US,36.8529,-75.978,97.09,64,40,11.5,thunderstorm
267,Westport,US,41.1415,-73.3579,91.94,57,1,1.99,clear sky
268,Ola,RU,59.5833,151.2833,55.33,91,100,1.79,overcast clouds
269,Moberly,US,39.4184,-92.4382,86.0,48,1,3.44,clear sky
270,Adre,TD,13.4667,22.2,77.45,68,93,3.36,overcast clouds
271,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,11.5,overcast clouds
272,Marsa Matruh,EG,31.3525,27.2453,78.89,72,0,11.83,clear sky
273,Benghazi,LY,32.1167,20.0667,83.86,46,0,27.45,clear sky
274,Hofn,IS,64.2539,-15.2082,51.8,90,100,13.09,overcast clouds
275,Kyra,RU,49.5776,111.9753,53.01,90,5,1.9,clear sky
276,Kavaratti,IN,10.5669,72.642,81.16,78,100,17.22,overcast clouds
277,Yaan,NG,7.3833,8.5667,75.18,90,59,4.29,broken clouds
278,Mecca,SA,21.4267,39.8261,94.8,31,87,7.02,overcast clouds
279,Sorland,NO,67.667,12.6934,51.94,75,29,22.12,scattered clouds
280,Maniitsoq,GL,65.4167,-52.9,44.73,98,100,22.93,moderate rain
281,Kalmunai,LK,7.4167,81.8167,81.61,77,100,1.19,heavy intensity rain
282,Kahului,US,20.8947,-156.47,83.46,66,20,17.27,few clouds
283,Lebu,CL,-37.6167,-73.65,50.95,76,100,6.76,overcast clouds
284,Russell,US,32.3502,-85.1999,94.71,49,1,5.75,clear sky
285,Almaznyy,RU,48.0448,40.045,68.14,78,99,14.36,overcast clouds
286,Mosjoen,NO,65.836,13.1908,61.57,82,100,4.25,overcast clouds
287,Mar Del Plata,AR,-38.0023,-57.5575,59.02,51,0,11.5,clear sky
288,Athabasca,CA,54.7169,-113.2854,87.62,21,19,18.63,few clouds
289,Taseyevo,RU,57.2169,94.8978,56.39,98,99,6.89,overcast clouds
290,Kenai,US,60.5544,-151.2583,57.29,71,90,4.61,light rain
291,Tilichiki,RU,60.4667,166.1,51.82,83,77,1.52,broken clouds
292,Dembi Dolo,ET,8.5333,34.8,56.71,95,100,2.21,overcast clouds
293,Manggar,ID,-2.8833,108.2667,79.54,86,100,13.2,overcast clouds
294,University Place,US,47.2356,-122.5504,87.76,54,1,4.61,clear sky
295,Rocha,UY,-34.4833,-54.3333,55.47,91,100,5.73,overcast clouds
296,Ulladulla,AU,-35.35,150.4667,49.87,72,100,6.35,overcast clouds
297,Egvekinot,RU,66.3167,-179.1667,45.7,87,100,2.77,overcast clouds
298,Uglegorsk,RU,49.0833,142.0333,52.7,80,3,6.33,clear sky
299,Si Sa Ket,TH,14.8333,104.3333,74.86,95,100,7.49,light rain
300,Ilulissat,GL,69.2167,-51.1,53.62,71,75,24.16,light intensity shower rain
301,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,4.61,few clouds
302,Acapulco,MX,16.8634,-99.8901,89.42,66,40,5.75,scattered clouds
303,Namatanai,PG,-3.6667,152.4333,78.44,83,33,8.19,scattered clouds
304,Akdagmadeni,TR,39.6603,35.8836,52.0,89,10,3.67,clear sky
305,Chengde,CN,40.9725,117.9361,64.98,98,100,1.45,moderate rain
306,Capao Da Canoa,BR,-29.7456,-50.0097,59.88,92,100,15.01,overcast clouds
307,Okha,RU,53.5739,142.9478,53.76,86,51,8.14,broken clouds
308,Mahajanga,MG,-15.7167,46.3167,75.22,83,20,2.3,few clouds
309,Emerald,AU,-23.5333,148.1667,55.54,82,75,4.61,broken clouds
310,Buri,BR,-23.7975,-48.5928,70.2,58,11,7.65,few clouds
311,Half Moon Bay,US,37.4636,-122.4286,92.57,71,20,10.36,few clouds
312,Alofi,NU,-19.0595,-169.9187,69.69,88,19,8.05,few clouds
313,Waipawa,NZ,-41.4122,175.5153,38.03,86,0,6.58,clear sky
314,Labuhan,ID,-6.8844,112.2051,76.53,84,83,6.2,broken clouds
315,Jizan,SA,17.3333,42.6667,92.34,46,13,5.88,few clouds
316,Olinda,BR,-8.0089,-34.8553,76.73,69,20,17.27,few clouds
317,Fort Frances,CA,48.5999,-93.4003,87.17,32,1,3.0,clear sky
318,Marathon,US,44.9,-89.7668,80.13,45,1,10.36,clear sky
319,Platonovka,RU,52.7106,41.952,60.37,85,100,6.31,overcast clouds
